[BBR-LOG] T=0.355 s, Send=37.87 Mbps, Recv=0.08 Mbps, Total=37.95 Mbps, EstBW=18.35 Mbps, PacingRate=52.98 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=10.42 Mbps, RTT=49857 us, MinRTT=34660 us, CWND=239719 B, InFlight=234048 B, Lost=0, State=STARTUP, Pkts=161/0, Bytes=236992/522
[BBR-LOG] T=0.361 s, Send=46.16 Mbps, Recv=1.02 Mbps, Total=47.18 Mbps, EstBW=24.00 Mbps, PacingRate=69.28 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=23.38 Mbps, RTT=49721 us, MinRTT=33373 us, CWND=162327 B, InFlight=159383 B, Lost=12, State=STARTUP, Pkts=40/12, Bytes=57815/1280
[BBR-LOG] T=0.385 s, Send=22.16 Mbps, Recv=0.30 Mbps, Total=22.46 Mbps, EstBW=18.35 Mbps, PacingRate=52.98 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=8.57 Mbps, RTT=56061 us, MinRTT=34660 us, CWND=239719 B, InFlight=234048 B, Lost=0, State=STARTUP, Pkts=56/0, Bytes=82432/1128
[BBR-LOG] T=0.392 s, Send=3.48 Mbps, Recv=0.02 Mbps, Total=3.50 Mbps, EstBW=24.85 Mbps, PacingRate=71.73 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=16.53 Mbps, RTT=50675 us, MinRTT=33373 us, CWND=162327 B, InFlight=156439 B, Lost=0, State=STARTUP, Pkts=9/0, Bytes=13248/75
[BBR-LOG] T=0.389 s, Send=4.52 Mbps, Recv=0.11 Mbps, Total=4.63 Mbps, EstBW=15.49 Mbps, PacingRate=44.73 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=9.88 Mbps, RTT=53755 us, MinRTT=39917 us, CWND=31497 B, InFlight=30912 B, Lost=3, State=STARTUP, Pkts=21/3, Bytes=30912/746
[BBR-LOG] T=0.402 s, Send=1.71 Mbps, Recv=0.31 Mbps, Total=2.02 Mbps, EstBW=24.85 Mbps, PacingRate=71.73 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=15.64 Mbps, RTT=55300 us, MinRTT=33373 us, CWND=154967 B, InFlight=133549 B, Lost=5, State=STARTUP, Pkts=2/5, Bytes=2134/390
[BBR-LOG] T=0.399 s, Send=12.01 Mbps, Recv=0.03 Mbps, Total=12.05 Mbps, EstBW=7.88 Mbps, PacingRate=22.76 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=4.39 Mbps, RTT=67965 us, MinRTT=49207 us, CWND=146417 B, InFlight=90583 B, Lost=0, State=STARTUP, Pkts=71/0, Bytes=97730/282
[BBR-LOG] T=0.412 s, Send=90.60 Mbps, Recv=1.64 Mbps, Total=92.24 Mbps, EstBW=26.17 Mbps, PacingRate=75.56 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=23.91 Mbps, RTT=54765 us, MinRTT=33373 us, CWND=219332 B, InFlight=119894 B, Lost=0, State=STARTUP, Pkts=77/0, Bytes=113344/2050
[BBR-LOG] T=0.409 s, Send=64.63 Mbps, Recv=0.90 Mbps, Total=65.52 Mbps, EstBW=32.88 Mbps, PacingRate=94.93 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=32.88 Mbps, RTT=74631 us, MinRTT=34660 us, CWND=286823 B, InFlight=278208 B, Lost=0, State=STARTUP, Pkts=137/0, Bytes=200219/2773
[BBR-LOG] T=0.409 s, Send=52.16 Mbps, Recv=1.10 Mbps, Total=53.26 Mbps, EstBW=10.34 Mbps, PacingRate=29.86 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=10.28 Mbps, RTT=65401 us, MinRTT=49207 us, CWND=175227 B, InFlight=66882 B, Lost=0, State=STARTUP, Pkts=47/0, Bytes=66909/1414
[BBR-LOG] T=0.431 s, Send=8.39 Mbps, Recv=0.06 Mbps, Total=8.45 Mbps, EstBW=26.17 Mbps, PacingRate=75.56 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=18.84 Mbps, RTT=52363 us, MinRTT=33373 us, CWND=225882 B, InFlight=133743 B, Lost=0, State=STARTUP, Pkts=14/0, Bytes=20399/144
[BBR-LOG] T=0.429 s, Send=33.34 Mbps, Recv=0.41 Mbps, Total=33.75 Mbps, EstBW=35.87 Mbps, PacingRate=103.55 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=23.66 Mbps, RTT=52906 us, MinRTT=34660 us, CWND=373671 B, InFlight=273514 B, Lost=0, State=STARTUP, Pkts=56/0, Bytes=82154/1008
[BBR-LOG] T=0.450 s, Send=0.01 Mbps, Recv=0.06 Mbps, Total=0.07 Mbps, EstBW=35.87 Mbps, PacingRate=103.55 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=20.05 Mbps, RTT=53778 us, MinRTT=34660 us, CWND=388391 B, InFlight=258794 B, Lost=0, State=STARTUP, Pkts=1/0, Bytes=31/144
[BBR-LOG] T=0.462 s, Send=24.01 Mbps, Recv=0.10 Mbps, Total=24.10 Mbps, EstBW=26.17 Mbps, PacingRate=75.56 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=14.65 Mbps, RTT=53333 us, MinRTT=33373 us, CWND=325646 B, InFlight=220591 B, Lost=0, State=STARTUP, Pkts=63/0, Bytes=92736/384
[BBR-LOG] T=0.460 s, Send=112.83 Mbps, Recv=0.29 Mbps, Total=113.12 Mbps, EstBW=35.87 Mbps, PacingRate=103.55 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=22.29 Mbps, RTT=57147 us, MinRTT=34660 us, CWND=403111 B, InFlight=392746 B, Lost=0, State=STARTUP, Pkts=101/0, Bytes=148672/384
[BBR-LOG] T=0.460 s, Send=11.61 Mbps, Recv=0.07 Mbps, Total=11.68 Mbps, EstBW=15.49 Mbps, PacingRate=44.73 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=2.88 Mbps, RTT=56668 us, MinRTT=39917 us, CWND=242042 B, InFlight=99883 B, Lost=0, State=STARTUP, Pkts=70/0, Bytes=102827/658
[BBR-LOG] T=0.464 s, Send=15.79 Mbps, Recv=0.01 Mbps, Total=15.80 Mbps, EstBW=11.14 Mbps, PacingRate=32.15 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=11.14 Mbps, RTT=64696 us, MinRTT=49207 us, CWND=181115 B, InFlight=169922 B, Lost=0, State=STARTUP, Pkts=74/0, Bytes=108928/94
[BBR-LOG] T=0.492 s, Send=18.42 Mbps, Recv=0.51 Mbps, Total=18.93 Mbps, EstBW=26.17 Mbps, PacingRate=75.56 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=18.13 Mbps, RTT=54308 us, MinRTT=33373 us, CWND=160448 B, InFlight=157504 B, Lost=5, State=STARTUP, Pkts=46/5, Bytes=67712/1866
[BBR-LOG] T=0.489 s, Send=18.48 Mbps, Recv=0.36 Mbps, Total=18.84 Mbps, EstBW=15.49 Mbps, PacingRate=44.73 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=11.80 Mbps, RTT=64910 us, MinRTT=39917 us, CWND=242042 B, InFlight=66878 B, Lost=0, State=STARTUP, Pkts=46/0, Bytes=66878/1303
[BBR-LOG] T=0.495 s, Send=58.25 Mbps, Recv=0.35 Mbps, Total=58.60 Mbps, EstBW=36.55 Mbps, PacingRate=105.51 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=28.44 Mbps, RTT=66613 us, MinRTT=34660 us, CWND=523537 B, InFlight=401856 B, Lost=0, State=STARTUP, Pkts=172/0, Bytes=253184/1525
