[BBR-LOG] T=0.839 s, Send=1188.86 Mbps, Recv=1.02 Mbps, Total=1189.88 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=353.85 Mbps, RTT=36720 us, MinRTT=28854 us, CWND=6580534 B, InFlight=5909220 B, Lost=193, State=PROBE_BW, Pkts=1288/193, Bytes=1818656/1559, SendDelay=32314 us, AckDelay=44245 us
[BBR-LOG] T=0.854 s, Send=1106.14 Mbps, Recv=3.56 Mbps, Total=1109.70 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=499.25 Mbps, RTT=36018 us, MinRTT=28854 us, CWND=5837822 B, InFlight=4878460 B, Lost=1387, State=PROBE_BW, Pkts=1518/1387, Bytes=2143416/6897, SendDelay=39795 us, AckDelay=36224 us
[BBR-LOG] T=0.869 s, Send=634.59 Mbps, Recv=1.05 Mbps, Total=635.64 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=430.75 Mbps, RTT=36826 us, MinRTT=28854 us, CWND=6186586 B, InFlight=5455968 B, Lost=88, State=PROBE_BW, Pkts=832/88, Bytes=1174784/1947, SendDelay=42309 us, AckDelay=50796 us
[BBR-LOG] T=0.881 s, Send=769.13 Mbps, Recv=3.42 Mbps, Total=772.55 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=443.02 Mbps, RTT=36894 us, MinRTT=28854 us, CWND=6117398 B, InFlight=4206348 B, Lost=858, State=PROBE_BW, Pkts=782/858, Bytes=1104184/4903, SendDelay=35017 us, AckDelay=36181 us
[BBR-LOG] T=0.891 s, Send=963.85 Mbps, Recv=2.56 Mbps, Total=966.41 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=515.04 Mbps, RTT=35127 us, MinRTT=28854 us, CWND=5668382 B, InFlight=3469284 B, Lost=857, State=PROBE_BW, Pkts=874/857, Bytes=1234088/3273, SendDelay=35225 us, AckDelay=35355 us
[BBR-LOG] T=0.907 s, Send=1463.89 Mbps, Recv=0.80 Mbps, Total=1464.70 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=346.39 Mbps, RTT=33889 us, MinRTT=28854 us, CWND=5397278 B, InFlight=5160860 B, Lost=509, State=PROBE_BW, Pkts=2024/509, Bytes=2857888/1566, SendDelay=32935 us, AckDelay=32317 us
[BBR-LOG] T=0.918 s, Send=866.25 Mbps, Recv=1.32 Mbps, Total=867.57 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=395.63 Mbps, RTT=34320 us, MinRTT=28854 us, CWND=6135754 B, InFlight=5614112 B, Lost=2, State=PROBE_BW, Pkts=848/2, Bytes=1197376/1822, SendDelay=35352 us, AckDelay=42628 us
[BBR-LOG] T=0.928 s, Send=855.77 Mbps, Recv=0.64 Mbps, Total=856.41 Mbps, EstBW=747.98 Mbps, PacingRate=560.99 Mbps, PacingGain=0.75x, CwndGain=2.00x, DeliveryRate=370.38 Mbps, RTT=36090 us, MinRTT=28854 us, CWND=6505698 B, InFlight=6382240 B, Lost=0, State=PROBE_BW, Pkts=806/0, Bytes=1138072/846, SendDelay=38685 us, AckDelay=53524 us
[BBR-LOG] T=0.939 s, Send=1104.24 Mbps, Recv=1.28 Mbps, Total=1105.52 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=437.85 Mbps, RTT=38272 us, MinRTT=28854 us, CWND=6296722 B, InFlight=5125560 B, Lost=1048, State=PROBE_BW, Pkts=1058/1048, Bytes=1493896/1728, SendDelay=33126 us, AckDelay=44219 us
[BBR-LOG] T=0.954 s, Send=1088.70 Mbps, Recv=2.70 Mbps, Total=1091.40 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=512.65 Mbps, RTT=34848 us, MinRTT=28854 us, CWND=5466466 B, InFlight=4682192 B, Lost=1187, State=PROBE_BW, Pkts=1472/1187, Bytes=2078464/5151, SendDelay=37188 us, AckDelay=42945 us
